phi1 phi2 depth orientation nfa octave
1.71218 -1.49706 428 -1 22.4725 0
1.4778 -1.458 379 -1 23.1927 0
1.63405 -1.41894 249 -1 26.8072 0
2.33718 -1.7705 302 -1 18.9587 0
1.82936 -2.20019 301 -1 24.5148 0
1.59499 -1.49706 305 -1 45.1025 0
1.55593 -2.27831 297 -1 42.1592 0
2.45436 -1.49706 299 -1 43.038 0
1.63405 -1.49706 267 1 29.9586 0
1.55593 -1.49706 277 1 33.9497 0
1.82936 -1.61425 358 1 26.2173 0
1.55593 -1.458 368 1 33.6034 0
1.71218 -1.57519 228 1 39.1078 0
1.55593 -1.26269 331 -1 30.0886 0
-2.07689 -1.49706 331 -1 47.7648 0
1.75124 -1.53613 218 1 35.5001 0
3.50905 -1.69238 445 1 33.6778 0
1.63405 -1.41894 445 1 48.0245 0
1.20436 -1.57519 402 1 43.6593 0
0.891863 -5.09081 399 1 43.2081 0
5.5403 -1.69238 403 1 48.9 0
1.63405 -1.458 189 -1 49.525 0
1.55593 -1.41894 182 -1 36.3997 0
3.46999 -1.57519 400 1 48.7604 0
1.43874 -1.49706 399 1 50.0715 0
1.24343 -1.57519 181 -1 42.4518 0
1.63405 -1.80956 167 -1 49.539 0
-0.358137 -1.49706 405 1 52.2802 0
5.5403 -1.30175 406 1 50.5735 0
0.891863 -1.34081 409 1 47.0247 0
1.86843 -1.69238 203 -1 32.1612 0
1.7903 -1.49706 166 -1 42.1619 0
1.63405 -1.49706 201 -1 47.857 0
1.33982 -1.38034 659 -1 16.1867 0
1.2617 -1.22409 603 -1 19.9891 0
1.10545 -1.22409 548 1 25.9029 0
1.18357 -1.26315 384 -1 16.4329 0
0.910133 -1.61471 604 -1 30.0145 0
0.988258 -1.69284 548 1 39.9186 0
0.949196 -1.61471 383 -1 35.0393 0
1.14451 -1.57565 657 -1 36.0401 0
1.73045 -1.69284 507 -1 12.7349 0
1.84763 -1.77096 515 -1 25.9145 0
1.18357 -1.34127 555 1 39.4226 0
1.02732 -1.88815 513 -1 46.1946 0
1.02732 -1.69284 516 -1 52.8939 0
0.949196 -0.989711 404 1 28.2975 0
1.41795 -1.69284 401 1 44.4662 0
0.480446 -4.58346 405 1 35.7113 0
1.37888 -1.7319 406 1 43.824 0
-1.00393 -1.49752 402 1 46.0638 0
1.22263 -0.950648 326 -1 23.4237 0
1.80857 -1.7319 299 -1 15.2611 0
0.597633 -1.65377 318 -1 48.8285 0
1.92576 -1.7319 699 -1 36.2354 0
0.910133 -1.88815 640 -1 40.8431 0
1.02732 -1.7319 319 -1 47.2869 0
1.02732 -1.65377 698 -1 50.2546 0
0.402321 -3.68502 406 1 37.0167 0
1.53513 -1.96627 296 -1 38.2227 0
2.62888 -2.16159 353 1 35.134 0
2.98045 -1.7319 351 1 40.0029 0
1.02732 -0.872523 358 1 43.3069 0
1.37888 -1.34127 581 1 20.2306 0
1.37888 -1.45846 463 1 36.976 0
2.62888 -1.96627 460 1 34.8039 0
1.02732 2.05716 463 1 50.7114 0
1.18357 -1.69284 462 1 47.0522 0
4.89451 -1.7319 458 1 52.6106 0
1.45701 -1.7319 584 1 35.7926 0
0.714821 -1.69284 628 -1 47.7034 0
-1.04299 -1.81002 408 1 50.3561 0
5.71482 -1.92721 625 -1 48.527 0
0.988258 -1.69284 629 -1 51.257 0
1.76951 -1.81002 360 1 49.8835 0
1.06638 -1.57565 582 1 50.5173 0
0.988258 2.21341 403 1 48.7343 0
1.49737 -1.22271 659 -1 15.6916 0
1.53643 -1.18365 580 1 19.6941 0
1.263 -1.22271 603 -1 19.9901 0
1.65362 -0.832085 606 -1 37.5446 0
