phi1 phi2 depth orientation nfa octave
-5 -8.90625 251 -1 47.8758 0
-4.21875 -4.92188 262 -1 48.564 0
-4.76562 -5 264 -1 47.8612 0
-1.09375 -5 255 -1 47.4248 0
-4.84375 -8.51562 256 -1 48.2129 0
-5 -5 298 -1 51.237 0
-5.03906 -4.88281 292 -1 48.9336 0
-4.80469 -5.07812 598 1 51.38 0
-4.21875 -5.58594 610 1 47.305 0
-5 -3.04688 612 1 51.7943 0
-5 -5.78125 610 1 51.1935 0
-4.60938 -5.07812 605 1 47.7298 0
-4.96094 -4.96094 534 -1 54.6601 0
-5 -4.92188 666 1 51.7789 0
-4.60938 -6.13281 680 1 50.162 0
-4.92188 -4.57031 722 -1 50.7792 0
-4.92188 -5 747 -1 53.3287 0
-5.11719 -5 1075 1 48.3417 0
-5 -4.0625 913 -1 48.2965 0
-5.39062 -4.33594 914 -1 50.0199 0
-5 -5.03906 910 -1 53.1347 0
-5 -5.42969 998 1 51.2379 0
-1.13281 -5.15625 1060 1 48.5561 0
-5.03906 -4.88281 1060 1 52.6595 0
-4.92188 -4.84375 944 -1 53.5483 0
0.635626 0.0879862 1436 -1 10.9452 0
0.401251 0.166111 1449 1 27.2342 0
0.440313 0.244236 1462 1 20.9923 0
0.830938 0.0489237 1464 1 42.6749 0
4.54188 -0.0292013 1466 1 47.7957 0
0.362188 0.0489237 1270 1 49.0859 0
0.635626 0.127049 1047 1 48.8312 0
0.440313 0.166111 1039 -1 47.6683 0
0.479376 -0.263576 1105 1 39.7937 0
0.635626 0.0489237 1105 1 47.3291 0
0.440313 0.0489237 1108 1 53.0001 0
0.205938 0.205174 1340 1 39.8369 0
1.29969 -0.771389 1242 1 32.5747 0
0.791876 0.0879862 1245 1 46.4405 0
0.479376 -1.78701 1246 1 42.287 0
0.518438 0.439549 1337 1 48.907 0
0.440313 0.0489237 1189 -1 52.6602 0
0.635626 -0.146389 1248 1 50.9155 0
4.34656 0.0489237 1387 1 49.5261 0
2.4325 -2.02139 1118 1 22.3912 0
0.440313 0.0489237 1343 1 51.2483 0
2.00281 -1.12295 1123 1 32.1501 0
-0.419062 0.127049 1349 1 50.7026 0
2.39344 -0.146389 1159 1 41.9086 0
0.440313 -1.9042 1384 1 49.857 0
0.479376 -1.24014 1113 1 40.7348 0
0.440313 -3.89639 1149 1 43.5776 0
0.0496881 3.91611 1402 1 48.5608 0
0.127813 -3.66201 1162 1 45.0844 0
-1.51281 0.0489237 1375 1 50.3304 0
4.34656 -1.98233 1205 -1 41.6718 0
0.362188 0.400486 1309 -1 39.1009 0
0.635626 -0.966701 1075 -1 37.1792 0
0.440313 -1.04483 1204 -1 39.5511 0
0.401251 0.478611 1480 -1 41.0103 0
0.557501 0.127049 1067 1 50.8479 0
0.987188 4.07236 1320 1 50.7277 0
1.41688 1.2208 1158 1 46.3123 0
-5 -5.07812 1590 -1 49.7634 0
